"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2025","27.69","27.88","28.25","27.45","877.16K","-2.33%"
"02/13/2025","28.35","26.60","28.64","26.22","1.33M","4.96%"
"02/12/2025","27.01","26.62","27.07","26.62","595.90K","1.92%"
"02/11/2025","26.50","26.52","26.64","26.24","289.71K","-0.41%"
"02/10/2025","26.61","26.40","26.68","26.35","368.65K","0.80%"
"02/07/2025","26.40","26.46","26.67","26.30","511.87K","0.00%"
"02/06/2025","26.40","25.68","26.40","25.45","408.22K","1.69%"
"02/05/2025","25.96","25.82","26.01","25.65","262.72K","0.50%"
"02/04/2025","25.83","26.05","26.15","25.80","771.07K","-0.46%"
"02/03/2025","25.95","25.50","26.05","25.27","432.54K","-1.52%"
"01/31/2025","26.35","26.38","26.55","26.26","474.30K","0.00%"
"01/30/2025","26.35","26.92","27.23","26.31","616.68K","-2.08%"
"01/29/2025","26.91","26.69","27.10","26.69","539.76K","1.24%"
"01/28/2025","26.58","26.13","26.70","26.13","280.66K","1.61%"
"01/27/2025","26.16","25.42","26.37","25.25","396.81K","1.00%"
"01/24/2025","25.90","25.64","26.37","25.64","500.37K","1.69%"
"01/23/2025","25.47","26.10","26.24","25.24","645.74K","-2.41%"
"01/22/2025","26.10","25.98","26.24","25.98","249.29K","0.46%"
"01/21/2025","25.98","25.66","26.05","25.58","238.34K","1.21%"
"01/20/2025","25.67","25.50","25.88","25.38","313.75K","0.67%"
"01/17/2025","25.50","24.86","25.50","24.86","386.04K","2.82%"
"01/16/2025","24.80","24.69","24.95","24.58","310.35K","1.27%"
"01/15/2025","24.49","24.08","24.60","24.02","423.80K","2.00%"
"01/14/2025","24.01","24.52","24.68","24.01","364.16K","-1.48%"
"01/13/2025","24.37","24.23","24.49","24.03","286.07K","0.41%"
"01/10/2025","24.27","24.15","24.52","24.15","385.55K","0.50%"
"01/09/2025","24.15","23.95","24.24","23.86","259.81K","0.84%"
"01/08/2025","23.95","24.59","24.65","23.72","422.07K","-2.60%"
